City,Total Population,Median Income,Tax Rate %,Total Households,Average Household Size,Households With Children Under 18,Married Households,Co-habiting Couple Households,Female only Households,Male Only Households,Labor Force,Employed,Unemployed,Unemployed Rate (%),Grade < 9,Grade 9-12,Highschool Diploma,Some College,Associate Degree,Undergraduate Degree,Graduate Degree,Grade < 9 (%),Grade 9-12 (%),Highschool Diploma (%),Some College (%),Associate Degree (%),Undergraduate Degree (%),Graduate Degree (%),0-15 (%),15-17 (%),18-24 (%),25-34 (%),35-54 (%),55-64 (%),65+ (%),0 to 15,15 to 17,18 to 24,25 to 34,35 to 54,55 to 64,65 plus
Los Angeles,3898747,76244,9.5,1399442,2.7,330231,530750,120120,432568,316004,2107400,1978300,129000,6.1,362826,239034,520611,483942,175021,644695,341449,13.1,8.6,18.8,17.5,6.3,23.3,12.3,16.36,3.36,9.9,17.92,27.56,11.47,13.42,634872,130576,384055,695543,1069700,445280,521015
Long Beach,466742,78995,10.25,170174,2.65,42244,62732,16601,52351,38490,237000,222700,14400,6.1,37976,23931,55529,74473,22530,64544,35526,12.1,7.6,17.7,23.7,7.2,20.5,11.3,17.06,3.65,10.23,17.29,27,12.27,12.51,78862,16861,47272,79910,124816,56725,57847
Santa Clarita,228673,116186,9.5,73362,3.05,25921,43772,3920,15755,9915,115200,108700,6400,5.6,5488,6706,24956,35048,14435,34634,17059,4,4.8,18,25.3,10.4,25,12.3,20.95,4.46,8.53,12.64,28.49,12.51,12.41,47309,10079,19271,28553,64351,28265,28022
Glendale,196543,81219,10.25,73104,2.63,18320,34764,3790,21406,13144,104000,97900,6100,5.8,11251,6696,31969,21962,15386,40407,21749,7.5,4.5,21.4,14.7,10.3,27,14.6,14.74,3.28,7.71,15.88,26.94,13.02,18.44,28664,6375,14999,30892,52400,25320,35862
Lancaster,173516,103816,10.25,52341,3.16,18374,24141,3143,16320,8737,65200,59800,5300,8.2,7790,9864,29330,23225,9417,11767,7085,7.9,10,29.8,23.6,9.6,11.9,7.2,23.07,4.74,9.51,14.42,25.58,11.45,11.23,39559,8121,16304,24731,43868,19633,19249
Palmdale,169450,78414,10.25,46588,3.58,18040,25019,3107,12008,6454,63500,58300,5200,8.1,10645,11741,26022,22037,6742,9988,4426,11.6,12.8,28.4,24.1,7.4,10.9,4.8,23.79,5.16,10.08,13.79,25.4,11.34,10.43,39702,8619,16826,23010,42398,18932,17408
Pomona,151713,73515,10.25,41438,3.5,13200,20174,3524,11270,6470,68200,63700,4500,6.5,14698,12253,23357,20897,6665,11805,4721,15.6,13,24.7,22.1,7.1,12.5,5,19.76,4.52,12.13,14.41,26.35,10.67,12.16,29614,6770,18168,21586,39481,15986,18226
Torrance,147067,109554,10,55719,2.58,15666,29132,2916,14575,9096,77700,73800,3800,4.9,2398,3101,16843,19234,8870,35121,18852,2.3,3,16.1,18.4,8.5,33.6,18.1,17.48,3.31,6.33,11.99,28.39,14.99,17.5,25422,4817,9206,17447,41300,21803,25459
Pasadena,138699,97818,10.25,56076,2.37,10839,21993,4582,17146,12355,80500,76100,4300,5.4,7482,4342,14671,16478,6842,29564,26684,7.1,4.1,13.8,15.5,6.5,27.9,25.2,14.38,2.62,7.5,17.95,28.69,12.02,16.83,19785,3601,10316,24689,39467,16540,23156
East Los Angeles,118786,64119,9.5,31013,3.77,10616,13821,3119,8315,5758,55900,52500,3300,6,21487,12438,18871,11889,3421,5571,2196,28.3,16.4,24.9,15.7,4.5,7.3,2.9,19.34,5.24,11.17,16.48,26.47,10.51,10.79,22673,6144,13095,19316,31030,12316,12648
